date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:12:30	5053/5053	---M--	200	added ('OK')	image/jpeg	etag:%220x8D47FD6466E19B8%22	https://mm-gold.azureedge.net/Special_Event_/Darwin_day/2009/images/book_cver2.jpg	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/Special_Event_/Darwin_day/2009/images/book_cver2.jpg	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:31	54802/54802	---M--	200	added ('OK')	image/jpeg	etag:%220x8D481D729FCEADB%22	https://mm-gold.azureedge.net/evolution/image/Evolutionary-Psychology.jpg	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/image/Evolutionary-Psychology.jpg	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:31	45101/45101	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D737B8C2D3%22	https://mm-gold.azureedge.net/evolution/QA/onlytheory.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/onlytheory.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:31	22514/22514	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D734D882DE%22	https://mm-gold.azureedge.net/evolution/QA/falsifiable.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/falsifiable.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:32	75038/75038	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D7320D0333%22	https://mm-gold.azureedge.net/evolution/QA/evolution_observation_replication.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/evolution_observation_replication.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:32	51067/51067	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D7326F6EFE%22	https://mm-gold.azureedge.net/evolution/QA/evolution_prediction.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/evolution_prediction.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:32	21095/21095	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D732A5E88F%22	https://mm-gold.azureedge.net/evolution/QA/evolution_scientists.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/evolution_scientists.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:33	41127/41127	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D730FF3B59%22	https://mm-gold.azureedge.net/evolution/QA/evolution_chance.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/evolution_chance.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:33	15365/15365	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D733684F22%22	https://mm-gold.azureedge.net/evolution/QA/evolution_thermodynamics.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/evolution_thermodynamics.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:33	14943/14943	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D73695EC48%22	https://mm-gold.azureedge.net/evolution/QA/majority_evolution.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/majority_evolution.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:34	64327/64327	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D731052EDE%22	https://mm-gold.azureedge.net/evolution/QA/evolution_evidence.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/evolution_evidence.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:34	72067/72067	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D733915B21%22	https://mm-gold.azureedge.net/evolution/QA/evolution_vestigeal_organ.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/evolution_vestigeal_organ.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:34	54125/54125	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D738702CD3%22	https://mm-gold.azureedge.net/evolution/QA/vestigial_functionality.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/vestigial_functionality.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:34	18937/18937	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D7379AB363%22	https://mm-gold.azureedge.net/evolution/QA/ordho_bikoshito.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/ordho_bikoshito.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:35	20057/20057	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D734C94065%22	https://mm-gold.azureedge.net/evolution/QA/eye_darwin.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/eye_darwin.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:35	28417/28417	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D733B58534%22	https://mm-gold.azureedge.net/evolution/QA/eye_complex.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/eye_complex.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:35	81795/81795	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D7335451D9%22	https://mm-gold.azureedge.net/evolution/QA/evolution_species.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/evolution_species.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:35	77582/77582	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D73285DD42%22	https://mm-gold.azureedge.net/evolution/QA/evolution_practicaluse.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/evolution_practicaluse.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:36	41275/41275	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D7359C48DB%22	https://mm-gold.azureedge.net/evolution/QA/giraffe_wing.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/giraffe_wing.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:36	16675/16675	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D73195AFBB%22	https://mm-gold.azureedge.net/evolution/QA/evolution_micro_macro.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/evolution_micro_macro.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:36	18721/18721	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D73748744B%22	https://mm-gold.azureedge.net/evolution/QA/natural_selection_circular.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/natural_selection_circular.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:36	53138/53138	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D7370E7842%22	https://mm-gold.azureedge.net/evolution/QA/mutation_khotikor.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/mutation_khotikor.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:37	27994/27994	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D732A01C20%22	https://mm-gold.azureedge.net/evolution/QA/evolution_progressive.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/evolution_progressive.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:37	27004/27004	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D7357ED59A%22	https://mm-gold.azureedge.net/evolution/QA/fish_color.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/fish_color.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:37	29979/29979	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D735E2A0FD%22	https://mm-gold.azureedge.net/evolution/QA/human_evolution_du_ekti_hargor.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/human_evolution_du_ekti_hargor.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:38	68513/68513	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D738189689%22	https://mm-gold.azureedge.net/evolution/QA/radioactive_dating.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/radioactive_dating.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:38	28452/28452	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D736326F11%22	https://mm-gold.azureedge.net/evolution/QA/human_monkey_evolution.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/human_monkey_evolution.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:38	21952/21952	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D736F63533%22	https://mm-gold.azureedge.net/evolution/QA/monkey_still_there.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/monkey_still_there.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:38	19922/19922	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D736F28BA5%22	https://mm-gold.azureedge.net/evolution/QA/monkey_evolution_not%20_again.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/monkey_evolution_not%20_again.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:39	14895/14895	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D72FE0AAAF%22	https://mm-gold.azureedge.net/evolution/QA/adam-eve.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/adam-eve.html	(from https://mm-gold.azureedge.net/evolution/index.html)
